name,position,birthday,bloodType
 Chorong (초롱)," Leader, Rapper, Sub-Vocalist, Dancer"," March 3, 1991", O
eunji," Main Vocalist, Face of the Group"," August 18, 1993", B
"
","
","
","
"
naeun, Marcella," Lead Dancer, Sub-Vocalist, Center, Visual", 45 kg (99 lbs)
bomi," Main Dancer, Lead Vocalist, Rapper"," August 13, 1993", O
namjoo," Lead Vocalist, Lead Dancer, Rapper"," April 15, 1995", B
